TABLE_NAME|COLUMN_NAME|DATA_TYPE|CHARACTER_MAXIMUM_LENGTH|IS_NULLABLE|COLUMN_DEFAULT
----------|-----------|---------|------------------------|-----------|--------------
__EFMigrationsHistory|MigrationId|nvarchar|150|NO|NULL
__EFMigrationsHistory|ProductVersion|nvarchar|32|NO|NULL
CartItems|Id|int|NULL|NO|NULL
CartItems|CartId|int|NULL|NO|NULL
CartItems|ProductId|int|NULL|NO|NULL
CartItems|Quantity|int|NULL|NO|NULL
CartItems|CreatedAt|datetime2|NULL|NO|NULL
Carts|Id|int|NULL|NO|NULL
Carts|UserId|int|NULL|NO|NULL
Carts|CreatedAt|datetime2|NULL|NO|NULL
Carts|UpdatedAt|datetime2|NULL|NO|NULL
Categories|Id|int|NULL|NO|NULL
Categories|Name|nvarchar|-1|NO|NULL
ChatHistories|Id|int|NULL|NO|NULL
ChatHistories|UserId|int|NULL|NO|NULL
ChatHistories|UserMessage|nvarchar|-1|NO|NULL
ChatHistories|BotResponse|nvarchar|-1|NO|NULL
ChatHistories|SentAt|datetime2|NULL|NO|NULL
OrderItems|Id|int|NULL|NO|NULL
OrderItems|OrderId|int|NULL|NO|NULL
OrderItems|ProductId|int|NULL|NO|NULL
OrderItems|Quantity|int|NULL|NO|NULL
OrderItems|Price|decimal|NULL|NO|NULL
OrderItems|ProductImage|nvarchar|-1|YES|NULL
OrderItems|ProductName|nvarchar|200|NO|(N'')
Orders|Id|int|NULL|NO|NULL
Orders|UserId|int|NULL|NO|NULL
Orders|OrderCode|nvarchar|20|NO|NULL
Orders|TotalAmount|decimal|NULL|NO|NULL
Orders|ShippingFee|decimal|NULL|NO|NULL
Orders|PaymentMethod|nvarchar|20|NO|NULL
Orders|Status|nvarchar|20|NO|NULL
Orders|ShippingFullName|nvarchar|100|NO|NULL
Orders|ShippingPhone|nvarchar|20|NO|NULL
Orders|ShippingAddress|nvarchar|255|NO|NULL
Orders|ShippingCity|nvarchar|100|YES|NULL
Orders|ShippingDistrict|nvarchar|100|YES|NULL
Orders|ShippingWard|nvarchar|100|YES|NULL
Orders|Note|nvarchar|-1|YES|NULL
Orders|CreatedAt|datetime2|NULL|NO|NULL
Orders|UpdatedAt|datetime2|NULL|YES|NULL
Orders|ShippingEmail|nvarchar|100|YES|NULL
Orders|CancelReason|nvarchar|-1|YES|NULL
Orders|PaymentStatus|nvarchar|20|NO|(N'')
ProductReviews|Id|int|NULL|NO|NULL
ProductReviews|ProductId|int|NULL|NO|NULL
ProductReviews|UserId|int|NULL|NO|NULL
ProductReviews|Rating|int|NULL|NO|NULL
ProductReviews|Comment|nvarchar|-1|NO|NULL
ProductReviews|CreatedAt|datetime2|NULL|NO|NULL
ProductReviews|Likes|int|NULL|NO|NULL
Products|Id|int|NULL|NO|NULL
Products|Name|nvarchar|-1|NO|NULL
Products|Price|decimal|NULL|NO|NULL
Products|Stock|int|NULL|NO|NULL
Products|Description|nvarchar|-1|YES|NULL
Products|CategoryId|int|NULL|NO|NULL
Products|ImageUrl|nvarchar|-1|YES|NULL
Products|Discount|int|NULL|NO|((0))
Products|Rating|float|NULL|NO|((0.0000000000000000e+000))
Products|Reviews|int|NULL|NO|((0))
Products|TechSpecs|nvarchar|-1|YES|NULL
Roles|Id|int|NULL|NO|NULL
Roles|RoleName|nvarchar|50|NO|NULL
sysdiagrams|name|nvarchar|128|NO|NULL
sysdiagrams|principal_id|int|NULL|NO|NULL
sysdiagrams|diagram_id|int|NULL|NO|NULL
sysdiagrams|version|int|NULL|YES|NULL
sysdiagrams|definition|varbinary|-1|YES|NULL
Users|Id|int|NULL|NO|NULL
Users|FullName|nvarchar|100|NO|NULL
Users|Email|nvarchar|-1|NO|NULL
Users|PasswordHash|nvarchar|-1|NO|NULL
Users|PhoneNumber|nvarchar|-1|YES|NULL
Users|Address|nvarchar|-1|YES|NULL
Users|CreatedAt|datetime2|NULL|NO|NULL
Users|RoleId|int|NULL|NO|NULL

(77 rows affected)
